"Name of directory","Link to directory"
".coop Directory",http://directory.coop/
"A Greener Indiana network groups",http://www.agreenerindiana.com/groups
"Alabama Sustainable Agriculture Network listings",http://www.asanonline.org/forconsumers.htm
"British Columbia Co-operative Association Members",http://www.bcca.coop/members_listing
"Buy CT Grown",http://www.buyctgrown.com/
"Buy Fresh Buy Local - Oklahoma",http://www.kerrcenter.com/buy-fresh.htm
"Buy Fresh Buy Local Food Guide (CA)",http://guide.buylocalca.org/
"Buy Fresh Buy Local Nebraska",http://www.buylocalnebraska.org/
"Buy Fresh Buy Local Pennsylvania",http://www.buylocalpa.org/
"Buy Washington Organic",http://www.tilthproducers.org/bwo-where.htm
"CA Certified Organic Farmers Directory",http://www.ccof.org/directories.php
"Canadian Cohousing Network",http://www.cohousing.ca/locations.htm
"Canadian Housing Coop Listings",http://www.canconet.com/
"Carolina Farm Stewardship Association Find Local Food",http://www.carolinafarmstewards.org/advanced.shtml
"Cascade Harvest Coalition Members & Friends",http://www.cascadeharvest.org/community/members-and-friends
"Changing Maine Directory",http://www.changingmaine.org/cgi/cm/index.html
"CLT Directory",http://www.cltnetwork.org/index.php?fuseaction=Main.MemberList
"Co-op Month - Co-op Directory",http://www.coopmonth.coop/directory/submit.php
"Co-operative Housing Federation of Canada",http://www.chfcanada.coop/eng/pages2007/about_3.asp
"Colorado Organic Producers Association Members",http://www.organiccolorado.org/members.html
"Community Bike Programs Directory",http://www.ibike.org/encouragement/freebike/directory/index.htm
"Community Garden Database",http://acga.localharvest.org/
"Community Land Trust Directory",http://smallisbeautiful.org/cltdirectory.html
"Community Supported Fisheries Locator",http://namanet.org/csf/locate
"Complementary Currency Resource Center",http://www.complementarycurrency.org/ccDatabase/les_public.html
"Coop Members of NCDF",http://www.ncdf.coop/membership_new.html
"Cooperative Grocer Food Co-op Directory",http://www.cooperativegrocer.coop/coops/
"Cooperatives and Nonprofits in Davis and Yolo Counties",http://community.coop/davis/
"Craft Cooperatives Directory",http://people.hofstra.edu/faculty/Martha_J_Kreisel/directory_of_craft_cooperatives.html
"Credit Union Locator",http://www.creditunion.coop/cu_locator/quickfind.php
"CSA Farms in NW Michigan & beyond",http://www.csafarms.org/findcsa.asp
"CSI Support & Development Services",http://www.csi.coop/
"Directory of locally-owned and operated businesses in New Orleans",http://staylocal.org/biz/
"Directory of Rural Farmer, Rancher, and Fishery Cooperatives",http://www.rurdev.usda.gov/rbs/pub/sr22.htm
"Eat Well Guide: Local, Sustainable, Organic Food",http://www.eatwellguide.org/
"EcoBusinessLinks Green Directory",http://www.ecobusinesslinks.com/
"Economie Sociale Quebec",http://economiesocialequebec.ca/
"Employee Owned Companies in Massachusetts",http://masseio.org/Interactive/index.html
"Examples of Mid-Atlantic Cooperatives",http://www.kdc.coop/resources/examples_of_cooperatives_by_state/?no_cache=1
"Fair Trade and Small Farm Producers",http://www.supermarketcoop.com/
"Fair Trade Federation Members",http://www.fairtradefederation.org/ht/d/Memdir/pid/1722
"Farm Fresh - Local food in RI, CT, MA",http://www.farmfresh.org/
"Find a BALLE Network",http://www.livingeconomies.org/netview/local-networks-map
"Find an Independent Business Alliance",http://www.amiba.net/find/international_index.html
"Florida Organic Growers Directory",http://www.foginfo.org/directory.php
"Georgia Organics Directory",http://www.georgiaorganics.org/organic_directory/
Go.Coop,http://go.coop/
"Good Earth Guide to Ohio Organic & Ecological Farms & Gardens",http://www.oeffa.org/search-geg.php
"Green America's National Green Pages",http://www.coopamerica.org/pubs/greenpages/
"Hawaii Organic and Certified Products and Producers Directory",http://www.hawaiiorganic.org/organic-marketplace
"Intentional Communities Directory",http://directory.ic.org/
"Intercontinental Network for the Promotion of the Social Solidarity Economy",http://www.ripess.net/en/reseaux_continent.html
"Land Stewardship Project Community Based Food & Economic Development",http://www.landstewardshipproject.org/foodfarm-main.html
"Linux User Groups",http://www.linux.org/groups/
"Local Currency Directory",http://smallisbeautiful.org/local_currencies/currency_groups.html
